target,text
etc,"졸음운전 일 평균 5.9건…'나들이 많은 봄철, 교통사고 유의해야'. 경찰청은 나들이 차량이 많은 봄철 졸음운전 등 교통사고에 특히 유의해달라고 당부했 다. 2일 오후 서울 여의서로 벚꽃길이 꽃을 감상하는 시민들로 북적이고 있다. 한편, 서울 영등포구는 여의서로의 벚꽃이 이번 주부터 본"
accident,"동부간선도로서 가로등 들이받고 화재…운전자 사망 서울 성동구 동부간선도로에서 차량이 가로등을 들이받고 불이 나 40대 여성 운전자가 숨졌다. 4일  서울 성동소방서에 따르면 이날 오전 3시10분쯤 성동구 동부간선도로 군자교 인근에서 차량 1대가 가로등을 들이받고 화"
accident,"제주도 뺀 전국에 산불 경보 발령…김포·포천·곡성·철원서 산불 제주도를 제외한 전국 각지에 산불 경보가 발령된 14일 곳곳에서 화재가 발생했다. 산림청 중앙산불방지대책본부에 따르면 주말인 이날 오후 3시 30분 현재까지 경기도 김포·포천과 전남 곡성 등 전국 여러 곳에서 산불이"
accident,"횡성 공근면 행정리 마을회관서 불…47분 만에 진화 14일 밤 강원 횡성군의 한 마을회관에서 불이 나, 40여 분 만에 진화됐다. 강원도 소방본부에 따르면 이날 오후 9시35분쯤 횡성군 공근면 행정리의 마을회관에 불이 났다는 신고가 접수됐다. 이에 출동한 소방은 인력"
accident,"충남 보령 남포서 산불 발생…당국 진화 중 14일 충남 보령시 남포면 달산리 산33에서 오후 10시 6분께 산불이 발생해 산림당국이 진화 중이다. 산림당국에 따르면 현재 진화차량 21대, 진화인력 78명을 긴급 투입해 진화에 나섰다. 현재 산불 현장에는 초속"
accident,"전주 중화산동 아파트 지하 창고에서 불.. 주민 30여 명 대피 휴일 저녁 전주의 한 아파트에서 불이 나 주민 30여 명이 대피하는 소동이 벌어졌습니다. 오늘(14일) 저녁 7시 30분쯤 전주시 중화산동의 한 아파트에서 불이 나 20여 분만에 큰 불이 잡혔으나 주민 30여 명이 "
accident,"길바닥 쓰레기 걷어차다 신발 날아가 노인 얼굴 피투성이 경찰, 가해자 추적 중 경찰이 서울 홍대 인근에서 80대 노인에게 신발을 날려 얼굴을 다치게 한 남성 무리를 추적하고 있다. 14일 경찰에 따르면, 서울 마포경찰서는 폭행 혐의로 남성 A씨를 추적하고 있다. A씨는 "
accident,"정성껏 키운 두릅 훔친 여성…양손엔 금반지가 5개 농사를 짓는 부모님이 정성으로 키운 두릅을 훔쳐가려는 도둑을 현장에서 붙잡았다는 사연이 전해졌다. 특히 절도범이 당시 양 손가락에 5개의 금반지를 끼고 있었다는 사실이 알려져 대중의 공분을 샀다. A씨는 최근 온라인"
etc,"약 털어 넣은 그놈...“아는 사람이 더 많다” 약물 성범죄 실태 약물을 이용한 성폭력 범죄가 모르는 사이보다 상대적으로 지인 관계에서 많이 발생한다는 분석이 나왔다. 김중곤 계명대 경찰행정학과 조교수는 최근 학술지 경찰학연구에 2022∼2023년 나온 주도형 약물 이용 성범죄 1"
accident,"때이른 더위에 바다 수영하던 10대들 저체온증 보이다 구조돼 갑자기 더워진 날씨에 바다에 뛰어든 10대들이 저체온증을 보이다 해경에 구조됐다. 울산해경은 14일 오후 3시 울산 동구 방어진 삼섬항 방파제 인근 해상에서 수영객 5명을 발견하고 이 가운데 저체온증과 탈진 증세를 "
accident,"경기 광주 단독주택서 화재…노모·딸부부 등 3명 연기흡입 14일 낮 12시 5분쯤 경기 광주시 중대동의 한 단독주택에서 불이 나 2시간 30여 분 만에 완전히 꺼졌다. 이 불로 해당 단독주택 내부에 있던 60대 여성 A 씨가 대피하는 과정에서 연기를 흡입해 인근 병원으로 "
accident,"'만취운전' 20대, 신호등 들이받고 붙잡혀 제주서부경찰서는 도로교통법 위반(음주운전) 혐의로 20대 A씨를 붙잡아 조사하고 있다고 13일 밝혔다. A씨는 이날 오후 4시 35분께 제주시 노형동의 한 교차로에서 혈중알코올농도가 면허 취소 수치(0.08% 이상)"
accident,"'쾅'…관악구 당곡사거리서 오토바이·승용차 충돌 13일 오후 7시 32분께 서울 관악구 신림동 당곡사거리 앞 왕복 8차로에서 오토바이와 승용차가 부딪히는 사고가 발생했다. 이 사고로 오토바이 운전자가 심정지 상태로 심폐소생술(CPR)을 받으며 인근 병원으로 옮겨진"
etc,"'체액 테러'가 성범죄 아니라고?…유사 판례 분석해 보니 시간이 흐른 뒤에야 비로소 보이는 것들이 있습니다. 매일 새로운 의혹이 제기되고 해명과 반박이 거듭되면서 본질은 사라지고 왜곡된 파편만 남게 됩니다. [리뷰1]은 이슈의 핵심을 한눈에 파악하고 전체를 볼 수 있도록 "
accident,"인천 가방공장 불로 헬기 5대 출동…검은 연기 부천까지 번졌다 인천 가방 보관 창고에서 난 불이 주변 공장으로 번지며 피해가 커지고 있다. 소방당국은 헬기 5대를 투입해 진화 작업을 벌였다. 화재로 인한 검은 연기는 인근 부천시까지 퍼졌다. 1일 인천소방본부에 따르면 이날 오후"
etc,"날 풀리자 늘어나는 어린이 사고… 제일 조심해야 할 것은? , 재해, 중독 등 외부 위험 요인으로 발생하는 모든 신체·정신 건강 문제를 말한다. 서울 종로구 서울대학교병원 소아전문 응급의료센터 앞을 시민이 지나고 있다."
etc,"제주소방, 봄철 등반시 산악사고 주의 당부 제주도 소방안전본부는 한라산 및 오름 등 탐방객이 늘어나는 봄철을 맞아 안전체계를 강화한다."
etc,"봄 나들이 졸음운전 주의…치사율, 음주운전의 2배↑ 높아 주의가 필요합니다.차들로 꽉 막힌 교차로에서 구급대원과 경찰이 사고 수습을 하고 있습니다. 졸음운전 한... 배치하고, 심야시간에 경광등을 켜고 사이렌을 울리는 등 졸음운"
etc,"고흥군 일본뇌염 주의보 예방 고흥군이 전국적인 일본뇌염 주의보 발령에 따른 예방 활동을 강화하고 나섰다. 일본뇌염을 매개하는 '작은 빨간 집 모기'는 논이나 동물축사, 웅덩이에... 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를"
etc,"봄나들이 때 졸음운전 주의…경찰은 음주운전 집중단속 야외활동과 함께 술자리도 늘어날 수 있어 음주 사고에도 주의해야 합니다"
etc,"광주시 봄철 산불·등산사고 주의하세요 윤건열 안전정책관은 '작은 부주의가 돌이킬 수 없는 재난과 안전사고를 일으킬 수 있다'며 '등산 시 산불예방과 안전수칙 준수에 적극 동참해주길 바란다'고 말했다"
etc,"회전교차로 사고 증가..강원 비율 높아 보행자에 대한 주의도 필요합니다. '회전 교차로는 신호등이 없습니다. 그렇기 때문에 보행자도 횡단보도가 있으면 먼저 건너려는 성향이 강합니다.... 회전교차로 사고는 정지나 급감속하는 차량으로 인한 추돌사고가"
etc,"취재 시작 1시간 만에 ‘출동’…봄철 산악사고 주의 산행 중 외상을 입었을 땐 등산로에 비치된 구급함을 누구나 이용할 수 있습니다. 등산로의 위치표지판이나 국가지점번호를 기억해두면 사고가 났을 때 보다 신속한 신고와 구조가 가능합니다."
accident,"서초구 고물상서 화재, 3시간 만에 꺼져…6명 대피 서울 서초구 한 고물상에서 불이나 현장에 있던 6명이 대피했다. 23일 소방당국에 따르면 이날 오후 7시15분쯤 서초구 방배동 한 고물상 주거용 및 사무용 컨테이너에서 화재가 발생했다. 불은 3시간10분 만에 완전히"
accident,"단독주택 담벼락이 갑자기 ‘와르르’…“인명피해는 없어” 23일 오전 11시 48분께  한 단독주택 담벼락이 무너지는 사고가 발생했다. 사고는 주택 내 기름보일러 설치를 위해 쌓아놨던 토사가 유출되면서 발생했다. 다행히 당시 주택 내부에는 사람이 없어 인명"
accident,"아파트 공동현관문 돌진한 전기차 택시… 인명피해 없어 한 아파트 단지에서 전기차 택시가 아파트 1층 현관으로 돌진했다. 이 사고로 아파트 공동현관문 유리가 파손됐으나, 다행히 사고 당시 지나는 입주민이 없어 인명피해는 발"
etc,"‘묻지마 범죄’ 재범 적지 않아 … 교정·복지 종합대책 필요  지난해 8월 한 노상에서 일면식도 없는 10대 여성을 뒤따라가며 '죽을래, 맞을래' 등의 발언을 하고 때릴 듯이 위협했다."
accident,"서현역서 한남 찌르겠다" 글 올린 30대女 흉기 난동 사건이 발생한 경기도 성남시 분당구 서현역에서 수십명의 남성들을 흉기로 찌르겠다는 내용의 글을 게시한 여성 "
etc,"흉기난동 범죄 발생시 재난문자 발송한다 앞으로 흉기난동 범죄 발생시 신속하게 재난문자가 발송될 전망이다. 행정안전부는 최근 서울 신림역과 경기 성남시 서현역에서 발생한 흉기 난동 범죄에 대해 경찰청, 지방자치단체와 함께 적극 대응하기로 했다고 9일 밝혔다"
etc,"계속되는 살인 예고…협박죄 처벌은 글쎄 서울 신림동 번화가에서 흉기 난동 사건이 벌어진 이후 온라인 커뮤니티 곳곳에서 살인을 예고하는 게시물이 잇따라 올라오고 있다. 이를 놓고 시민 불안이 가중되는 만큼 사이버 테러 위협으로 보고 처벌 수위를 높여야 한다"
etc,"졸음운전 일평균 5.9건, 봄철 나들이로 교통사고 주의 경찰청은 봄철 나들이 차량 증가로 졸음운전 등 교통사고에 특별히 주의를 요청합니다. 서울 여의서로에서 벚꽃 감상 중인 시민들로 붐볐습니다."
accident,"서울 성동구 동부간선도로 화재, 운전자 사망 동부간선도로에서 차량이 가로등을 들이받아 화재가 발생했습니다. 40대 여성 운전자가 사망했습니다."
etc,"산림안전, 봄철 등산사고 예방 중요합니다. 제주도 소방안전본부는 한라산 및 오름 등 봄철 등산객 증가에 대비하여 안전 대책을 강화하고 있습니다."
accident,"서울 서초구 고물상 화재로 6명 대피 서초구 방배동 고물상 주거용 및 사무용 컨테이너에서 화재가 발생하여 6명이 대피했습니다."
etc,"봄철 어린이 사고 주의! 서울 종로구 서울대학교병원 소아전문 응급의료센터 앞에서 어린이 사고가 늘어나고 있습니다."
accident,"장마로 인한 쓰나미 경보 발령! 제천시에서 쓰나미 경보가 발령되어 주민들의 대피가 필요합니다. 안전한 장소로 이동하세요."
etc,"태풍으로 인한 해안 침수 우려! 제주도와 남해안 지역에서는 태풍으로 인한 해안 침수가 우려됩니다. 주변 해안지역에 계신 분들은 주의하세요."
accident,"비로 인한 도로 침수로 교통사고 발생! 강수량 증가로 인한 도로 침수로 인해 서울 강남구에서 교통사고 발생하였습니다."
etc,"태풍으로 인한 풍량 증가, 주의하세요! 경기도 일부 지역에서는 태풍으로 인한 풍량 증가로 인한 피해가 발생하고 있습니다. 안전한 장소로 대피하세요."
accident,"비로 인한 산사태 발생! 비로 인한 산사태가 경남 양산시에서 발생하여 주변 주민들명 중상."
etc,"장마로 인한 도로 침수로 교통혼잡 발생! 서울 지역에서는 장마로 인한 도로 침수로 교통혼잡이 발생하고 있습니다. 안전운전하세요."
accident,"태풍으로 인한 가로수 추락 사고 발생! 부산 해운대구에서 태풍으로 인한 가로수가 추락하여 차량 피해가 발생하였습니다."
accident,"장마로 인한 지반 붕괴로 인명피해 발생! 경기도 화성시에서 장마로 인한 지반 붕괴로 인명피해가 발생하였습니다."
accident,"태풍으로 인한 항구 시설물 파손 사고 발생! 인천 항구에서 태풍으로 인한 항구 시설물 파손 사고가 발생하였습니다."
accident,"장마로 인한 침수로 인명피해 발생! 충남 당진시에서 장마로 인한 침수로 인명피해가 발생하였습니다."
etc,"장마철 주행 시 교통사고 예방 요령! 장마철에는 도로가 습기로 인해 미끄러운 상황이 발생할 수 있으니 안전운전에 유의하세요."
etc,"비가 내리는 날 안전운전 팁! 비가 내리는 날에는 미끄럼 방지를 위해 차량 속도를 줄이고 안전거리를 유지하세요."
etc,"태풍 대비 안전수칙! 태풍이 예상되는 날에는 외출을 자제하고, 물품을 고정시키고 창문을 닫아주세요."
etc,"비 올 때의 안전한 운전 습관! 비가 오는 날에는 브레이크 및 가속을 부드럽게 조작하고, 빗길 주행 시 차량 간격을 넓혀주세요."
etc,"장마철 안전 운전을 위한 준비물! 장마철에는 우산, 비방수복, 비상등 등을 차량 내에 항상 준비해두세요."
etc,"태풍으로 인한 피해를 예방하는 방법! 태풍이 예상되는 날에는 창문과 문을 닫고 외출을 자제하고, 비상용품을 준비하세요."
etc,"비올 때 안전하게 걷는 방법! 우산이나 방수복을 준비하고, 미끄럼 방지를 위해 조심스럽게 보행하세요."
etc,"장마철 안전 운전 팁! 미끄러운 도로 조심하고 급가속, 급제동을 피하세요. 안전띠를 착용하고 안전거리를 유지하세요."
etc,"태풍에 대비한 안전한 대피 준비물! 태풍이 예상되는 날에는 음식물과 생활필수품을 비치하고 안전한 장소로 대피하세요."
etc,"비 올 때 안전한 주행을 위한 조언! 비가 내리는 날에는 가속 및 감속을 조심하고, 미끄러운 도로에서는 브레이크를 부드럽게 밟으세요."
accident,"밤늦게 걷고 있던 여성, 묻지마 폭행 당해 사망… 가해자 도주 중 경찰 추적중입니다."
accident,"고속도로 휴게소서 묻지마 폭행 사건 발생! 피해자 심각한 부상 입고 응급실로 이송 중입니다."
accident,"주말 야외 공연장에서 묻지마 폭행 사건 발생! 경찰이 가해자를 수사 중입니다."
accident,"대도시 지하철에서 묻지마 폭행 사건 발생! 피해자가 신고를 통해 가해자를 식별 중입니다."
accident,"밤길에 걷던 남성, 묻지마 폭행에 의해 경미한 부상을 입었습니다."
accident,"술집 앞에서 묻지마 폭행에 희생된 시민, 현장에 경찰이 출동 중입니다."
accident,"상가 주차장에서 묻지마 폭행으로 부상 입은 시민, 병원으로 이송 중입니다."
accident,"산책로에서 묻지마 폭행 당해 인명 피해가 발생했습니다. 경찰이 수사 중입니다."
accident,"밤길에 혼자 걷던 여성, 묻지마 폭행 사건에 희생되었습니다. 가해자는 경찰에 의해 수배 중입니다."
accident,"밤늦게 동네 공원에서 묻지마 폭행에 피해를 입은 시민, 현장에 구조대가 출동 중입니다."
etc,"지마 폭행 예방을 위한 안전한 외출 팁! 외출 시에는 혼자가 아닌 친구나 가족과 함께 다니세요."
etc,"야간에는 혼자 다니지 말고, 주변에 밝은 곳이나 사람이 많은 곳을 선택하여 다니세요."
etc,"외출 시에는 귀중품을 최소화하고, 돈이나 카드 등은 잘 감추어 다니세요."
etc,"타인의 도움을 받을 때는 주의하고, 귀가 시에는 안전한 길로 선택하여 이동하세요."
etc,"야간에는 혼자 다니지 말고, 사람들이 많은 곳을 선택하여 다니세요."
etc,"타인의 도움을 받을 때는 신중하게 선택하세요. 묻지마 폭행 사건에 휘말리지 않도록 주의하세요."
etc,"귀가 시에는 안전한 길을 통해 이동하고, 위급한 상황 시에는 주변을 도와주는 사람에게 도움을 요청하세요."
accident,"밤늦게 걷고 있던 남성이 골목에서 무장한 폭력단체에 습격당해 심각한 상처를 입었습니다. 가해자들은 경찰에 의해 체포되었습니다."
accident,"주택가에서 부부 간의 폭력사건이 발생했습니다. 피해자는 응급실로 이송되었고, 경찰이 가해자를 수사 중입니다."
accident,"공원에서 아이들이 놀던 중에 폭행 사건이 발생했습니다. 가해자는 도주 중이며 경찰이 추적 중입니다."
accident,"상가 거리에서 다툼으로 인한 폭행사건이 발생했습니다. 경찰이 가해자를 신속히 검거 중입니다."
accident,"술집에서 다툼으로 인한 대규모 폭행 사건 발생! 다수의 부상자가 발생하였으며, 경찰이 사건을 조사 중입니다."
accident,"밤길에 혼자 걷던 여성이 폭행으로 심각한 부상을 입었습니다. 가해자는 경찰에 의해 체포되었습니다."
accident,"대중교통 이용 중에 갈등으로 인한 폭행 사건이 발생했습니다. 경찰이 CCTV를 통해 가해자를 수사 중입니다."
accident,"주차장에서 다툼으로 인한 폭행으로 희생된 시민이 발생했습니다. 경찰이 가해자를 수사 중입니다."
accident,"밤늦게 걸어가던 골목에서 폭행으로 인한 부상자가 발생했습니다. 경찰이 가해자를 추적 중입니다."
accident,"아파트 단지에서 인근 주민들 사이에서 폭행 사건이 발생하여 주민들이 불안해하고 있습니다. 경찰이 사건을 조사 중입니다."
etc,"외출 시에는 혼자 다니지 말고, 친구나 가족과 함께 다니세요. 모르는 사람에게는 신뢰할 수 없는 도움을 받지 마세요."
etc,"야간에는 혼자 다니지 말고, 밝은 곳이나 사람이 많은 곳을 선택하여 다니세요. 긴급 상황 시에는 주변 사람들에게 도움을 요청하세요."
etc,"외출 시에는 귀중품을 최소화하고, 주변 상황을 주의 깊게 살펴보세요. 이상한 사람에게는 가까이 가지 마세요."
etc,"다급한 상황에서도 주변에 도움을 요청하세요. 이상한 사람에게는 가까이 가지 마세요."
etc,"타인의 도움을 받을 때는 주의하고, 신뢰할 수 있는 사람에게만 도움을 요청하세요."
accident,"공원에서 산책 중인 가족이 갑작스러운 낙뢰로 인해 심각한 부상을 입었습니다. 응급 구조대가 현장에 출동하여 치료를 시작했습니다."
accident,"골프장에서 골퍼들이 경기를 벌이던 중 갑작스러운 낙뢰가 발생하여 다수의 부상자가 발생했습니다. 구조 대원들이 부상자들을 구조하고 있습니다."
accident,"해변에서 바다에서 수영하던 사람들이 낙뢰로 인해 응급실로 옮겨졌습니다. 구조 대원들이 추가적인 구조 작업을 진행하고 있습니다."
accident,"산악 등산 중이던 등산객들이 갑작스러운 낙뢰로 인해 잃어버린 산악 등반로에서 도와주고 있는 중입니다."
accident,"시내 곳곳에서 걷고 있던 사람들이 낙뢰로 인한 공포에 직면했습니다. 구조 대원들이 응급 상황을 처리하고 있습니다."
accident,"주택가에서 작은 아이가 낙뢰에 맞아 응급실로 이송되었습니다. 현재 의료진이 아이를 치료 중입니다."
accident,"공원에서 피크닉을 즐기던 가족이 낙뢰로 인해 분리된 상태입니다. 구조 대원들이 가족을 모으고 있습니다."
accident,"고산지대에서 등산 중이던 등산객들이 갑작스러운 낙뢰로 인해 분산되어 있습니다. 구조 대원들이 등산객들을 안전한 장소로 이송 중입니다."
accident,"농장에서 일하는 농부들이 낙뢰에 맞아 응급 상황입니다. 응급 의료진이 현장으로 투입되어 있습니다."
accident,"고속도로 주변에서 운전 중이던 차량이 낙뢰로 인해 사고를 당했습니다. 구조 대원들이 사고 현장으로 향하고 있습니다."
etc,"낙뢰가 예상되는 날씨에는 야외 활동을 자제하세요. 안전한 실내로 이동하세요."
